World rank,Company,Country,Region,Industry,R&D 2017/18 (€mn),R&D one-year growth (%),Net sales (€mn),Net sales one-year growth (%),R&D intensity (%),Capex (€mn),Capex one-year growth (%),Capex intensity (%),Op.profits (€mn),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€mn),Market cap one-year growth (%)
55,HITACHI,Japan,Japan,Electronic & Electrical Equipment,2458.6,2.8,69199.6,2.2,3.6,2604.5,-42.1,3.8,5159.2,36.5,7.5,307275,1.1,27022.9,52.6
56,CANON,Japan,Japan,Technology Hardware & Equipment,2437.6,9.2,30132.8,19.9,8.1,1399.4,-8.4,4.6,2448.1,44.8,8.1,197776,0.1,37963.7,30.0
57,BOEING,US,US,Aerospace & Defence,2410.6,-33.0,77872.1,-1.2,3.1,1450.0,-33.4,1.9,8399.9,82.1,10.8,140800,-6.4,118118.1,75.4
58,TAKEDA PHARMACEUTICAL,Japan,Japan,Pharmaceuticals & Biotechnology,2403.2,-3.1,13076.2,2.2,18.4,494.9,8.7,3.8,1469.2,133.4,11.2,27230,-8.9,35493.1,33.3
59,HON HAI PRECISION INDUSTRY,Taiwan,RoW,Electronic & Electrical Equipment,2284.6,59.9,131485.2,8.0,1.7,1686.9,13.5,1.3,3293.4,-37.1,2.5,,,56880.3,48.0
60,TAIWAN SEMICONDUCTOR,Taiwan,RoW,Technology Hardware & Equipment,2255.3,13.4,27305.5,3.1,8.3,9235.2,0.8,33.8,10801.5,2.3,39.6,48602,3.5,156828.1,23.0
61,TENCENT,China,China,Software & Computer Services,2235.3,47.4,30445.5,56.5,7.3,1550.4,44.2,5.1,11302.2,51.4,37.1,44796,15.5,333446.8,63.6
62,MERCK DE,Germany,EU,Pharmaceuticals & Biotechnology,2135.0,8.3,15327.0,2.0,13.9,919.0,28.4,6.0,2200.0,7.1,14.4,52880,4.9,11950.3,-1.5
63,ZF,Germany,EU,Automobiles & Parts,2133.0,12.7,36444.0,3.6,5.9,1350.0,13.9,3.7,1757.0,8.7,4.8,146148,6.8,,
64,WESTERN DIGITAL,US,US,Technology Hardware & Equipment,2035.4,50.0,15920.1,46.9,12.8,481.9,-1.0,3.0,1816.1,181.4,11.4,68000,-6.7,21703.2,96.2
65,TELECOM ITALIA,Italy,EU,Fixed Line Telecommunications,1992.0,14.0,19828.0,4.2,10.0,3477.0,0.3,17.5,3508.0,-8.9,17.7,59429,-3.1,10860.7,-1.1
66,UNITED TECHNOLOGIES,US,US,Aerospace & Defence,1990.3,2.1,49893.3,4.5,4.0,1679.3,18.5,3.4,7377.6,8.0,14.8,205000,1.5,79737.4,7.4
67,SK HYNIX,South Korea,RoW,Technology Hardware & Equipment,1937.2,18.6,23452.5,75.1,8.3,7721.5,52.8,32.9,10687.6,318.7,45.6,23548,5.8,38899.4,88.2
68,NOVO NORDISK,Denmark,EU,Pharmaceuticals & Biotechnology,1931.7,-3.1,15003.0,-0.1,12.9,1024.3,7.9,6.8,6577.3,1.1,43.8,42076,0.3,78556.4,-7.1
69,BIOGEN,US,US,Pharmaceuticals & Biotechnology,1879.1,14.2,10234.2,7.2,18.4,823.3,60.3,8.0,4550.5,-3.4,44.5,7300,-1.4,55808.3,-0.1
70,MEDTRONIC,Ireland,EU,Health Care Equipment & Services,1878.6,2.7,24975.4,0.8,7.5,890.5,-14.8,3.6,5791.7,25.1,23.2,86000,-5.5,91059.1,-9.2
71,BASF,Germany,EU,Chemicals,1867.0,1.8,64475.0,12.0,2.9,3996.0,-3.6,6.2,8370.0,37.0,13.0,115490,1.5,74854.2,12.1
72,VOLVO,Sweden,EU,Industrial Engineering,1840.2,3.1,34005.8,10.9,5.4,1750.1,-1.3,5.1,3067.0,45.8,9.0,87104,3.6,22609.2,49.0
73,HYUNDAI MOTOR,South Korea,RoW,Automobiles & Parts,1828.2,4.6,75068.0,2.9,2.4,3519.2,3.2,4.7,3563.2,-11.9,4.7,68826,1.6,24106.3,5.6
74,NESTLE,Switzerland,RoW,Food Producers,1802.2,5.6,76765.6,0.4,2.3,3363.3,-1.9,4.4,8645.1,-23.2,11.3,323000,-1.5,216448.0,3.9
