,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
221,SAINT-GOBAIN,France,Construction & Materials,440.0,-9.7,2.7,1.0,42025.0,-2.7,1.6,1456.0,-22.7,-1.4,3.5,1925.0,-5.9,-9.5,4.6,187726,-3.5,-0.9
222,HENKEL,Germany,Household Goods & Home Construction,437.0,1.6,3.6,2.7,16355.0,-0.9,2.7,436.0,3.3,22.0,2.7,2237.0,3.6,10.7,13.7,46850,0.5,-0.7
223,TDK,Japan,Electronic & Electrical Equipment,436.5,17.5,6.2,6.4,6779.6,15.6,4.0,472.4,-19.9,-4.4,7.0,252.1,69.1,-16.9,3.7,83581,4.7,-1.6
224,LIEBHERR-INTERNATIONAL,Switzerland,Industrial Engineering,434.7,-10.6,6.4,4.8,8963.6,0.2,4.7,,   ,   ,0.0,650.8,-13.1,1.7,7.3,39424,4.3,6.1
225,CSR CHINA,China,Industrial Engineering,431.0,18.1,14.0,3.8,11469.5,8.4,14.6,489.9,32.8,-6.8,4.3,701.6,1.1,16.7,6.1,86509,1.6,1.5
226,HALLIBURTON,US,"Oil Equipment, Services & Distribution",426.4,27.8,17.1,2.0,21319.7,3.2,17.8,2127.5,-17.7,12.3,10.0,3000.5,-0.5,11.2,14.1,77000,5.5,9.9
227,ACTIVISION BLIZZARD,US,Software & Computer Services,423.5,-3.3,-3.1,12.7,3323.2,-5.6,1.0,53.7,1.4,-8.6,1.6,994.9,-5.4,42.7,29.9,6900,3.0,-3.2
228,WHIRLPOOL,US,Household Goods & Home Construction,422.0,5.2,4.1,3.1,13609.6,3.5,0.7,419.1,21.4,-2.3,3.1,1047.8,30.7,10.1,7.7,69000,1.5,-0.9
229,THOMSON REUTERS,Canada,Support Services,421.3,-2.0,1.0,4.6,9210.4,-3.3,-0.9,728.0,4.1,-2.9,7.9,1130.4,-41.5,-1.6,12.3,57800,-3.7,1.7
230,AMAZON.COM,US,General Retailers,421.3,28.0,39.7,0.8,53985.9,21.9,29.6,2497.3,-9.0,52.1,4.6,540.2,10.2,-19.1,1.0,117300,32.7,51.5
231,CARL ZEISS,Germany,Health Care Equipment & Services,420.1,5.0,13.7,10.0,4189.9,0.6,12.0,,   ,   ,0.0,334.9,-20.2,-7.1,8.0,24264,2.2,24.3
232,CITRIX SYSTEMS,US,Software & Computer Services,419.9,15.3,16.7,19.8,2116.2,12.8,15.9,126.9,16.1,23.9,6.0,273.4,-3.5,5.4,12.9,9166,11.6,17.6
233,TE CONNECTIVITY,Switzerland,Electronic & Electrical Equipment,417.7,-3.2,6.1,4.3,9629.5,0.0,3.2,445.9,15.4,16.9,4.6,1128.3,-0.8,-2.8,11.7,84000,-4.5,111.3
234,EMERSON ELECTRIC,US,Electronic & Electrical Equipment,417.7,5.3,6.8,2.3,17887.8,1.1,5.4,491.6,2.0,9.0,2.7,2531.4,2.4,2.3,14.2,131600,-2.4,1.0
235,FUJI HEAVY INDUSTRIES,Japan,Automobiles & Parts,412.5,21.3,11.8,2.5,16582.7,25.9,15.1,464.2,10.8,14.7,2.8,2248.2,171.5,58.1,13.6,28545,3.8,1.5
236,UNICREDIT,Italy,Banks,407.9,24.7,24.0,1.7,23822.4,-2.0,-3.0,,   ,   ,0.0,-15200.2,4547.0,  ,-63.8,147864,-5.4,-3.0
237,KOREA ELECTRIC POWER,South Korea,Electricity,406.5,12.5,-5.5,1.1,37126.6,9.3,11.1,9845.8,24.5,9.6,26.5,1043.6,-285.7,-1.3,2.8,,   ,   
238,XEROX,US,Technology Hardware & Equipment,406.1,-14.1,-8.2,2.6,15542.7,-1.4,-0.3,309.6,-16.8,-6.3,2.0,1129.0,-9.5,-3.7,7.3,143100,-3.0,1.6
239,BECTON DICKINSON,US,Health Care Equipment & Services,406.1,4.1,0.5,7.0,5840.0,4.5,4.2,426.4,6.2,-2.1,7.3,1172.5,3.8,0.7,20.1,30000,1.4,1.4
240,MAXIM INTEGRATED PRODUCTS,US,Technology Hardware & Equipment,404.7,4.4,2.0,22.7,1779.2,0.5,-0.3,96.1,-38.8,-8.9,5.4,329.3,-23.2,-12.6,18.5,8812,-2.3,-2.0
241,JOHNSON CONTROLS,US,Automobiles & Parts,404.6,9.6,9.3,1.3,30984.0,1.8,7.6,998.5,-24.8,21.0,3.2,1977.4,66.0,24.2,6.4,170000,   ,7.5
242,CHINA COMMUNICATIONS CONSTRUCTION,China,Construction & Materials,401.7,45.0,29.0,1.0,39425.5,15.6,6.8,871.1,-62.6,-4.4,2.2,2468.0,7.8,16.0,6.3,100874,6.6,   
243,JAPAN TOBACCO,Japan,Tobacco,393.2,0.4,5.3,2.4,16525.6,13.2,5.2,910.7,15.8,0.6,5.5,4069.2,21.2,16.0,24.6,51563,4.2,2.1
244,CADENCE DESIGN SYSTEMS,US,Software & Computer Services,390.5,17.9,12.2,36.9,1058.7,10.1,16.0,32.6,24.9,6.2,3.1,149.8,-2.0,  ,14.1,5700,9.6,7.4
245,KLA-TENCOR,US,Technology Hardware & Equipment,390.2,17.3,17.3,18.9,2061.3,0.0,-3.6,,   ,   ,0.0,,   ,   ,0.0,5820,0.0,1.9
246,STRYKER,US,Health Care Equipment & Services,388.7,13.8,10.8,5.9,6541.2,4.2,7.2,141.4,-7.1,2.3,2.2,1463.3,-2.4,4.8,22.4,25000,13.6,7.7
247,EVONIK INDUSTRIES,Germany,Chemicals,387.0,0.8,5.3,3.0,12874.0,-3.7,-1.1,1078.0,19.1,11.9,8.4,1059.0,-42.8,-4.6,8.2,33650,1.1,-0.6
248,POSCO,South Korea,Industrial Metals & Mining,386.6,-2.6,-1.6,0.9,42504.0,-2.7,0.7,4887.2,-5.2,4.9,11.5,2058.5,-18.0,-19.5,4.8,,   ,   
249,TORAY INDUSTRIES,Japan,Chemicals,382.2,4.0,6.0,3.0,12655.2,15.4,6.1,745.0,7.6,27.9,5.9,625.7,11.5,-2.5,4.9,45881,7.7,5.8
250,STATOIL,Norway,Oil & Gas Producers,381.6,14.3,14.3,0.5,76017.4,-11.9,6.4,12319.7,7.6,15.7,16.2,18533.3,-24.8,4.2,24.4,23115,-13.5,-8.7
251,CHINA MERCHANTS BANK,China,Banks,379.5,26.8,   ,2.4,15767.8,17.0,23.0,,   ,   ,0.0,9149.9,14.7,27.1,58.0,68078,14.7,16.5
252,ROSNEFT,Russia,Oil & Gas Producers,376.6,71.7,78.3,0.4,103994.9,52.0,34.7,12406.7,18.4,27.2,11.9,17458.0,61.1,24.0,16.8,,-100.0,-100.0
253,MURATA MANUFACTURING,Japan,Electronic & Electrical Equipment,376.3,12.1,11.2,6.5,5830.6,24.3,11.1,469.6,-12.2,6.3,8.1,866.9,114.7,17.6,14.9,48288,30.3,11.0
254,DASSAULT SYSTEMES,France,Software & Computer Services,375.5,2.0,5.2,18.2,2066.1,1.9,9.7,42.4,4.3,4.4,2.1,503.0,0.4,15.8,24.3,10654,5.3,5.6
255,SANDVIK,Sweden,Industrial Engineering,373.5,8.0,10.0,3.8,9857.5,-11.4,1.9,472.4,-13.2,7.4,4.8,975.0,-38.3,-8.4,9.9,48040,-2.7,1.7
256,KIRIN,Japan,Beverages,372.7,-1.7,-0.9,2.4,15525.4,3.1,1.2,808.4,18.6,3.3,5.2,886.9,-10.0,5.8,5.7,39922,-3.2,7.7
257,ANALOG DEVICES,US,Technology Hardware & Equipment,372.2,0.2,1.4,19.5,1909.7,-2.5,-1.6,89.2,-6.9,3.3,4.7,567.7,-5.9,-5.1,29.7,9100,-1.1,2.3
258,GAZPROM,Russia,Oil & Gas Producers,370.8,-15.3,-11.5,0.3,116441.8,10.2,13.4,30954.6,3.6,10.2,26.6,37919.7,14.7,9.1,32.6,429000,1.7,3.0
259,COVIDIEN,Ireland,Health Care Equipment & Services,368.4,-18.5,4.4,5.0,7421.5,-13.6,-0.6,349.5,-8.4,6.3,4.7,1545.9,-12.6,0.5,20.8,38500,-11.3,-2.5
260,BAT,UK,Tobacco,367.8,6.9,19.4,2.0,18222.2,0.5,0.8,685.4,-13.6,4.9,3.8,6611.8,2.1,5.7,36.3,89820,2.7,-0.9
261,NORTHROP GRUMMAN,US,Electronic & Electrical Equipment,367.6,-2.5,-5.6,2.1,17882.0,-2.2,-4.3,263.9,10.0,-14.6,1.5,2264.5,-0.2,3.4,12.7,65300,-4.1,-6.4
262,MCKESSON,US,Health Care Equipment & Services,359.7,-6.2,1.7,0.4,99781.7,12.7,7.1,300.9,7.8,2.3,0.3,1765.6,14.6,6.2,1.8,42800,-1.6,5.5
263,SHIONOGI,Japan,Pharmaceuticals & Biotechnology,357.6,-2.1,0.7,17.9,1995.0,2.4,0.9,47.9,-45.5,-14.9,2.4,431.6,247.9,16.6,21.6,6165,1.4,5.3
264,XILINX,US,Technology Hardware & Equipment,357.1,3.6,6.2,20.7,1727.6,9.9,0.2,32.5,48.2,-11.6,1.9,549.9,30.6,-1.8,31.8,3500,5.1,4.1
265,AUTOLIV,US,Automobiles & Parts,354.8,7.4,8.9,5.6,6383.4,6.5,7.1,279.6,5.5,17.7,4.4,552.1,-2.4,-5.0,8.6,56500,11.0,17.8
266,AREVA,France,Electricity,354.0,-11.7,-21.8,3.8,9240.0,4.0,0.5,1422.0,-29.6,-10.2,15.4,12.0,-96.1,  ,0.1,45340,-0.4,-1.8
267,PPG INDUSTRIES,US,Construction & Materials,353.9,7.3,5.7,3.2,10955.0,11.8,4.0,373.4,41.9,18.8,3.4,1312.5,18.1,8.5,12.0,41400,5.6,2.6
268,SAMSUNG ELECTRO-MECHANICS,South Korea,Electronic & Electrical Equipment,353.3,23.3,17.0,6.2,5672.7,4.3,13.5,676.2,7.2,-5.3,11.9,318.8,-20.1,-0.1,5.6,,   ,   
269,FRESENIUS,Germany,Health Care Equipment & Services,348.0,14.1,12.6,1.7,20331.0,5.4,8.4,1071.0,10.4,12.4,5.3,2991.0,0.3,7.3,14.7,178337,5.3,9.0
270,SEIKO EPSON,Japan,Technology Hardware & Equipment,348.0,1.2,-2.4,5.0,6911.0,17.9,1.0,231.6,-15.5,5.9,3.4,555.4,384.4,35.1,8.0,73171,6.4,-0.6
271,KAO,Japan,Personal Goods,341.9,32.4,2.9,3.8,9056.8,29.9,3.5,383.4,61.1,26.2,4.2,858.4,22.7,6.0,9.5,33054,-0.9,-1.6
272,MONDELEZ,US,Food Producers,341.5,1.9,-6.9,1.3,25595.7,0.8,3.9,1176.1,0.7,-0.8,4.6,2857.7,11.6,16.4,11.2,107000,   ,-5.6
273,CSL,Australia,Pharmaceuticals & Biotechnology,338.2,9.3,17.4,8.7,3868.3,7.8,5.9,256.6,-18.3,18.4,6.6,1187.2,10.7,8.3,30.7,12196,8.1,5.4
274,RAYTHEON,US,Electronic & Electrical Equipment,337.2,-33.9,-9.4,2.0,17189.5,-2.9,-2.0,238.6,-20.7,-5.2,1.4,2130.4,-1.7,4.0,12.4,63000,-7.1,-4.5
275,KYOCERA,Japan,Electronic & Electrical Equipment,336.3,2.8,-0.4,7.7,4372.1,6.5,-1.2,,   ,   ,0.0,191.5,-1.5,-15.4,4.4,14083,-4.8,-1.4
276,MAHLE,Germany,Automobiles & Parts,336.2,16.2,2.7,4.8,6941.3,12.7,9.7,,   ,   ,0.0,422.8,4.7,11.3,6.1,50496,7.1,4.6
277,CHINA CNR,China,Industrial Engineering,335.7,9.1,16.3,3.0,11316.5,5.0,15.7,633.0,-12.7,-9.9,5.6,810.3,46.2,43.0,7.2,86138,-2.0,1.5
278,ONO PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,334.5,6.9,4.2,33.9,985.6,-0.4,2.3,,   ,   ,0.0,173.0,-19.7,-10.1,17.5,2608,2.7,2.6
279,SOCIETE GENERALE,France,Banks,334.0,-11.2,13.1,1.4,24425.0,0.2,-2.1,,   ,   ,0.0,3058.0,95.4,-19.4,12.5,148324,-3.7,-1.6
280,AVAYA,US,Technology Hardware & Equipment,332.8,-8.0,0.7,9.7,3413.8,-9.0,-2.4,,   ,   ,0.0,202.3,4.9,  ,5.9,14538,-14.2,-8.4
281,BSH BOSCH UND SIEMENS HAUSGERATE,Germany,Household Goods & Home Construction,332.0,3.4,5.5,3.2,10508.0,7.2,5.0,,   ,   ,0.0,512.0,-27.1,-10.7,4.9,48169,3.9,5.9
282,MYLAN,US,Pharmaceuticals & Biotechnology,330.8,17.3,15.5,6.6,5009.9,1.7,8.2,242.6,9.6,20.2,4.8,973.2,4.1,13.1,19.4,,-100.0,-100.0
283,OMRON,Japan,Electronic & Electrical Equipment,330.0,10.2,5.1,6.2,5322.8,18.8,7.8,221.9,6.0,14.2,4.2,459.6,63.4,11.6,8.6,36842,4.0,1.1
284,ACTELION,Switzerland,Pharmaceuticals & Biotechnology,329.6,-12.0,-5.8,22.7,1452.4,3.3,-2.5,17.4,-36.5,-44.9,1.2,392.4,14.5,1.8,27.0,,-100.0,-100.0
285,LLOYDS BANKING,UK,Banks,327.2,16.1,21.4,1.5,22064.8,-9.9,-9.5,,   ,   ,0.0,495.6,-168.5,13.9,2.2,97869,-13.9,-2.1
286,PHILIP MORRIS INTERNATIONAL,US,Tobacco,325.6,8.2,3.1,1.4,22635.8,-0.5,4.7,870.1,13.6,18.9,3.8,9800.6,-2.5,6.5,43.3,91100,4.6,5.2
287,AKZO NOBEL,The Netherlands,Chemicals,323.0,-14.8,0.8,2.2,14871.0,-10.3,0.5,666.0,-19.4,7.6,4.5,945.0,-157.8,-8.5,6.4,49560,-2.1,-3.8
288,ASAHI GLASS,Japan,General Industrials,322.8,-3.1,6.0,3.6,9089.7,10.9,0.8,1022.4,-4.8,9.1,11.2,513.2,-20.7,-29.9,5.6,51448,   ,0.7
289,GIVAUDAN,Switzerland,Chemicals,319.7,-2.0,-1.2,9.0,3553.6,2.6,1.0,101.7,-19.9,1.4,2.9,564.5,11.6,2.6,15.9,9331,2.3,2.7
290,TOYOTA INDUSTRIES,Japan,Automobiles & Parts,319.0,18.6,18.6,2.3,13826.4,24.3,10.7,906.7,17.1,39.9,6.6,741.6,39.7,16.1,5.4,49333,4.1,6.5
291,SAUDI BASIC INDUSTRIES,Saudi Arabia,Chemicals,319.0,18.5,36.2,0.9,36551.7,0.0,7.5,2301.5,8.3,-9.6,6.3,8406.7,2.2,4.1,23.0,,-100.0,-100.0
292,LINKEDIN,US,Software & Computer Services,315.4,56.9,82.5,28.5,1108.4,57.2,84.6,215.5,62.9,76.0,19.4,34.7,-15.9,34.7,3.1,5045,45.9,72.1
293,WISTRON,Taiwan,Technology Hardware & Equipment,313.0,8.5,9.5,2.1,15062.0,-5.1,0.5,116.1,-63.3,-28.2,0.8,178.5,-17.3,-20.4,1.2,,-100.0,-100.0
294,ARRIS,US,Technology Hardware & Equipment,308.8,149.4,42.5,11.8,2625.6,167.5,49.3,51.8,232.2,46.7,2.0,47.2,-35.1,-16.1,1.8,6500,198.9,49.6
295,DIEHL,Germany,General Industrials,307.9,4.1,7.0,10.9,2829.9,-3.4,8.7,,   ,   ,0.0,117.1,-32.5,18.7,4.1,13826,2.8,5.0
296,HOSPIRA,US,Pharmaceuticals & Biotechnology,305.2,4.6,10.1,10.5,2902.5,-2.2,0.7,269.5,23.2,17.8,9.3,110.0,24.2,-34.5,3.8,17000,6.3,6.7
297,CERNER,US,Software & Computer Services,303.6,30.9,11.9,14.4,2110.6,9.2,16.3,423.7,90.7,44.4,20.1,417.7,0.8,17.0,19.8,,-100.0,-100.0
298,HTC,Taiwan,Technology Hardware & Equipment,302.8,-19.0,-1.0,6.2,4909.6,-29.6,-10.0,68.9,-57.0,-17.0,1.4,-69.2,-114.5,  ,-1.4,,-100.0,-100.0
299,SHIN-ETSU CHEMICAL,Japan,Chemicals,299.9,15.6,5.3,3.7,8028.0,13.7,3.3,460.1,-17.3,-17.2,5.7,1196.9,10.7,5.2,14.9,17892,1.0,3.2
300,REED ELSEVIER,UK,Media,299.7,-3.8,3.3,   ,,,   ,,   ,   ,   ,675.9,3.9,20.1,   ,,   ,-100.0
301,ZYGNA,US,Support Services,299.5,-36.0,40.3,47.3,633.2,-31.8,13.5,5.7,-97.6,-48.7,0.9,-47.6,-64.1,  ,-7.5,2034,-33.5,11.1
302,BYD,China,Electronic & Electrical Equipment,298.4,10.5,12.2,5.0,5913.6,12.1,2.2,452.3,-32.4,-22.3,7.6,174.8,1.0,-25.2,3.0,159000,-4.2,-4.1
303,SUNGARD DATA SYSTEMS,US,Software & Computer Services,296.6,9.1,2.0,9.9,2997.6,-3.0,-6.1,,   ,   ,0.0,334.3,523.0,1.0,11.2,37,0.0,0.0
304,INNOLUX,Taiwan,Electronic & Electrical Equipment,296.1,1.5,10.6,2.9,10203.7,-12.6,-5.0,443.4,9.1,-42.4,4.3,425.4,-202.6,259.9,4.2,,-100.0,-100.0
305,NAVISTAR INTERNATIONAL,US,Industrial Engineering,294.4,-24.7,-4.4,3.8,7813.1,-15.1,-3.9,434.3,56.0,26.8,5.6,-480.0,-10.7,  ,-6.1,14800,-12.4,-2.2
306,TESCO,UK,General Retailers,292.6,52.2,0.3,0.4,78264.5,1.1,2.5,2972.1,-5.0,-7.8,3.8,1854.5,-38.5,-21.7,2.4,510444,-5.1,1.2
307,ZOETIS,US,Pharmaceuticals & Biotechnology,289.3,-2.4,-1.0,8.7,3307.2,5.2,8.4,133.4,46.0,14.1,4.0,618.5,-4.2,25.3,18.7,9800,5.4,   
308,VILMORIN,France,Food Producers,289.1,13.4,10.0,19.6,1472.0,10.0,11.4,58.1,27.1,12.0,3.9,156.4,13.4,16.0,10.6,6079,7.8,7.7
309,HYUNDAI MOBIS,South Korea,Automobiles & Parts,289.0,17.1,13.8,1.2,23496.1,11.1,15.6,482.0,-25.8,18.0,2.1,2009.2,0.6,7.9,8.6,,   ,   
310,ELECTROLUX,Sweden,Household Goods & Home Construction,288.6,-2.2,-0.2,2.3,12320.8,-0.8,0.9,457.0,-1.0,7.9,3.7,177.9,-61.5,-33.8,1.4,60754,2.1,5.6
311,PEGATRON,Taiwan,Technology Hardware & Equipment,288.3,-0.8,13.4,1.3,22924.6,7.7,21.4,268.3,-45.1,1.2,1.2,435.4,24.4,15.8,1.9,,-100.0,-100.0
312,THYSSENKRUPP,Germany,Industrial Metals & Mining,288.0,19.0,4.7,0.7,39827.0,-4.1,1.8,1120.0,-28.2,-27.7,2.8,-540.0,-85.6,  ,-1.4,156856,-6.6,-4.0
313,THERMO FISHER SCIENTIFIC,US,Health Care Equipment & Services,286.8,5.1,11.6,3.0,9491.9,4.6,8.0,204.8,-10.4,4.8,2.2,1276.8,12.6,12.1,13.5,50000,28.5,10.4
314,UNITED MICROELECTRONICS,Taiwan,Technology Hardware & Equipment,284.4,26.6,10.5,9.5,2988.5,7.0,-0.7,794.4,-36.9,-18.7,26.6,314.1,151.1,-17.5,10.5,,-100.0,-100.0
315,GOODYEAR,US,Automobiles & Parts,282.8,5.4,4.5,2.0,14168.7,-6.9,1.2,846.9,3.6,7.4,6.0,993.4,39.1,27.2,7.0,69000,0.0,-1.4
316,DANSKE BANK,Denmark,Banks,281.1,-11.3,-5.3,5.0,5662.8,-14.3,-2.5,,   ,   ,0.0,1347.6,17.8,16.0,23.8,19122,-5.8,   
317,ALTERA,US,Technology Hardware & Equipment,279.3,7.1,15.2,22.2,1256.3,-2.8,-3.9,40.6,-11.3,47.5,3.2,337.4,-20.4,-18.6,26.9,3094,-1.1,5.1
