World rank,Company,Country,Region,Industry,R&D 2018/19 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
247,RED HAT,US,US,Software & Computer Services,583.8,15.6,2936.3,15.1,19.9,53.5,-27.9,1.8,447.4,7.7,15.2,13360.0,12.6,20630.4,23.8
248,KOMATSU,Japan,Japan,Industrial Engineering,578.8,-0.2,21475.4,9.0,2.7,1513.4,24.0,7.0,3147.3,37.9,14.7,61908.0,3.8,24211.0,6.3
249,MICRO FOCUS INTERNATIONAL,UK,EU,Software & Computer Services,576.5, ,4622.3, ,12.5,35.0, ,0.8,432.6, ,9.4,13879.0, ,6302.7,8.8
250,KONICA MINOLTA,Japan,Japan,Technology Hardware & Equipment,575.3,-5.2,8346.1,2.7,6.9,276.3,30.2,3.3,399.5,10.7,4.8,44360.0,2.5,4480.0,28.8
251,ON SEMICONDUCTOR,US,US,Technology Hardware & Equipment,568.3,9.5,5133.9,6.0,11.1,449.6,32.9,8.8,743.7,21.3,14.5,35700.0,5.0,7943.6,26.3
252,NIPPON STEEL,Japan,Japan,Industrial Metals & Mining,567.7,-1.4,48683.4,8.1,1.2,3457.5,6.5,7.1,1718.2,2.7,3.5,105796.0,8.0,16741.0,-14.8
253,ARRIS,UK,EU,Technology Hardware & Equipment,562.5,19.5,5888.8,1.9,9.6,55.6,-18.5,0.9,156.2,45.4,2.7,7900.0,-9.2,4080.7,-10.6
254,TEXTRON,US,US,Aerospace & Defence,561.6,1.4,12202.6,-1.6,4.6,322.3,-12.8,2.6,922.3,-0.9,7.6,35000.0,-5.4,14976.2,32.0
255,MOTOROLA,US,US,Technology Hardware & Equipment,556.3,12.1,6413.1,15.1,8.7,172.1,-13.2,2.7,1168.6,1.6,18.2,16000.0,6.7,18190.9,45.3
256,AUTOMATIC DATA PROCESSING,US,US,Support Services,555.7,1.0,12380.1,6.4,4.5,141.5,-21.4,1.1,2610.0,15.9,21.1,58000.0,1.8,56147.3,35.9
257,HANGZHOU HIKVISION DIGITAL TECHNOLOGY,China,China,Electronic & Electrical Equipment,551.9,35.6,6229.0,19.0,8.9,262.0,21.5,4.2,1558.7,10.1,25.0,34392.0,30.6,31692.0,6.6
258,ONO PHARMACEUTICAL,Japan,Japan,Pharmaceuticals & Biotechnology,551.7,1.7,2274.5,10.2,24.3,175.8,42.8,7.7,508.7,8.9,22.4,3555.0,2.2,12502.4,20.1
259,KYOCERA,Japan,Japan,Electronic & Electrical Equipment,551.0,20.0,12795.2,3.0,4.3,875.0,31.9,6.8,747.2,4.5,5.8,76863.0,1.2,20859.7,6.2
260,BAXTER INTERNATIONAL,US,US,Health Care Equipment & Services,549.3,1.9,9717.9,5.4,5.7,594.8,7.4,6.1,1600.0,20.2,16.5,50000.0,6.4,34701.6,17.5
261,NINTENDO,Japan,Japan,Leisure Goods,548.7,8.7,9460.6,13.7,5.8,84.6,11.7,0.9,1931.3,38.0,20.4,5944.0,8.1,44833.8,9.6
262,ILLUMINA,US,US,Pharmaceuticals & Biotechnology,544.1,14.1,2910.9,21.1,18.7,258.5,-4.5,8.9,771.2,45.7,26.5,7300.0,17.7,45554.6,74.7
263,DANSKE BANK,Denmark,EU,Banks,543.5,31.0,6290.4,-7.2,8.6,73.5,-11.9,1.2,2588.4,-26.5,41.1,20683.0,4.6,22678.7,-25.6
264,EDWARDS LIFESCIENCES,US,US,Health Care Equipment & Services,543.4,12.6,3251.4,8.4,16.7,208.5,42.0,6.4,840.3,-5.7,25.8,12800.0,4.9,26377.1,25.8
265,AUTOLIV,US,US,Automobiles & Parts,542.1,-11.8,7579.2,6.7,7.2,489.1,-3.5,6.5,599.1,-20.2,7.9,67000.0,-6.9,6779.6,-17.8
266,ELECTRICITE DE FRANCE,France,EU,Electricity,542.0,-19.6,68976.0,-0.9,0.8,13990.0,-2.4,20.3,5912.0,-3.7,8.6,162208.0,7.4,42474.9,65.3
267,SHIONOGI,Japan,Japan,Pharmaceuticals & Biotechnology,538.4,14.0,2866.2,5.5,18.8,51.6,11.4,1.8,988.1,9.3,34.5,5233.0,2.2,16490.3,9.7
268,BEIGENE,China,China,Pharmaceuticals & Biotechnology,534.2,129.6,173.1,-16.8,308.6,61.4,51.6,35.5,-616.4,616.8,-356.1,2200.0,144.4,8336.2,247.2
