World rank,Company,Country,Industry,R&D 2016/17 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees (th),Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
279,CARL ZEISS,Germany,Health Care Equipment & Services,442.9,-5.9,4880.8,8.2,9.1,190.9,2.3,3.9,615.6,65.6,12.6,25.4,1.5,,
280,PPG INDUSTRIES,US,Construction & Materials,442.1,-4.1,13993.9,-0.1,3.2,381.4,-15.5,2.7,994.2,-47.3,7.1,47.0,0.9,26725.0,9.2
281,SAMSUNG SDI,South Korea,Electronic & Electrical Equipment,439.3,-2.9,4085.4,5.0,10.8,661.1,13.4,16.2,-727.7,246.3,-17.8,9.5,,6238.9,36.7
282,DELTA ELECTRONICS (TAIWAN),Taiwan,Electronic & Electrical Equipment,438.6,5.9,6296.4,5.4,7.0,237.3,1.3,3.8,707.9,-3.2,11.2,,,12589.5,7.9
283,INFOR,US,Software & Computer Services,438.0,8.1,2709.2,6.1,16.2,77.0,24.0,2.8,342.6,-13.4,12.6,,,,
284,EVONIK INDUSTRIES,Germany,Chemicals,438.0,0.9,12732.0,-5.7,3.4,948.0,3.5,7.4,1301.0,-16.7,10.2,34.4,2.3,14081.1,-8.7
285,DAIKIN INDUSTRIES,Japan,General Industrials,437.5,16.8,16601.6,0.0,2.6,717.5,-8.6,4.3,1874.4,6.2,11.3,67.0,10.2,22828.9,32.5
286,GREAT WALL MOTOR,China,Automobiles & Parts,431.9,14.6,12889.2,29.5,3.4,912.4,14.1,7.1,1710.4,33.4,13.3,71.6,3.8,2855.5,9.1
287,MAXIM INTEGRATED PRODUCTS,US,Technology Hardware & Equipment,430.7,-2.8,2177.8,4.6,19.8,48.8,-25.9,2.2,649.2,137.6,29.8,7.0,-2.4,10952.1,16.3
288,ON SEMICONDUCTOR,US,Technology Hardware & Equipment,429.1,14.0,3706.4,11.8,11.6,199.9,-22.2,5.4,255.5,-0.4,6.9,32.0,30.6,4257.6,13.8
