EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
247,MAXIM INTEGRATED PRODUCTS,US,Technology Hardware & Equipment,429.8,-6.5,0.3,"1,900.1",-6.0,0.7,22.6,62.4,-42.8,-20.6,3.3,220.7,-41.0,-5.8,11.6,"8,250",-6.4,-0.9
248,BYD,China,Electronic & Electrical Equipment,428.2,26.7,-1.9,"7,452.7",11.2,2.4,5.7,287.6,-43.9,-19.3,3.9,220.4,11.3,-19.3,3.0,"190,000",19.5,-2.2
249,KLA-TENCOR,US,Technology Hardware & Equipment,427.9,-2.5,10.0,"2,317.8",-3.9,-2.6,18.5,37.7,-32.2,5.4,1.6,572.0,-10.9,-8.7,24.7,"5,880",-3.0,2.0
250,SAMSUNG ELECTRO-MECHANICS,South Korea,Electronic & Electrical Equipment,422.6,9.7,14.1,"5,352.5",-13.5,11.0,7.9,660.0,-10.5,-7.6,12.3,1.3,-99.6,18.6,0.0,,,
251,AUTOLIV,US,Automobiles & Parts,422.5,9.3,3.6,"7,611.0",5.0,2.3,5.6,375.6,18.3,1.6,4.9,595.2,-5.1,-5.2,7.8,"60,000",6.2,13.6
252,HENKEL,Germany,Household Goods & Home Construction,415.0,-5.0,3.0,"16,428.0",0.4,1.6,2.5,531.0,21.8,3.5,3.2,"2,243.0",0.3,9.1,13.7,"49,750",6.2,-0.3
253,RAYTHEON,US,Electronic & Electrical Equipment,411.8,7.5,-9.4,"18,800.7",-3.7,-1.5,2.2,313.0,15.5,-9.0,1.7,"2,618.4",8.2,1.3,13.9,"61,000",-3.2,-3.9
254,ALEXION PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,411.6,62.8,32.6,"1,839.8",44.0,25.6,22.4,112.6,365.9,10.1,6.1,744.9,66.8,30.4,40.5,"2,273",28.1,20.7
255,SAINT-GOBAIN,France,Construction & Materials,411.0,-6.6,0.3,"41,054.0",-1.7,-0.3,1.0,"1,568.0",10.5,-11.2,3.8,"1,723.0",-10.9,-11.6,4.2,"180,733",-2.9,-0.7
256,ALSTOM,France,Industrial Engineering,410.0,-59.5,1.2,"19,493.0",-2.8,0.2,2.1,,,-100.0,0.0,668.0,-24.9,-6.1,3.4,"87,849",-5.5,2.9
257,DASSAULT SYSTEMES,France,Software & Computer Services,409.7,9.1,4.5,"2,294.3",11.0,5.0,17.9,45.4,7.1,-15.9,2.0,430.8,-14.4,5.5,18.8,"13,312",24.9,3.7
258,SAUDI BASIC INDUSTRIES,Saudi Arabia,Chemicals,409.5,13.0,26.2,"41,319.5",-0.5,-0.2,1.0,"3,402.2",35.1,2.5,8.2,"8,727.6",-8.6,-4.8,21.1,"40,000",0.0,0.0
259,KOREA ELECTRIC POWER,South Korea,Electricity,408.9,-7.8,2.2,"43,063.3",6.4,7.5,0.9,"10,951.2",2.0,10.4,25.4,"4,336.4",281.0,,10.1,,,
260,EVONIK INDUSTRIES,Germany,Chemicals,408.0,5.4,3.5,"12,917.0",1.6,-4.4,3.2,"1,095.0",1.1,7.0,8.5,"1,015.0",3.5,-16.9,7.9,"33,412",-0.7,0.1
261,TORAY INDUSTRIES,Japan,Chemicals,406.3,7.2,2.6,"13,728.0",9.4,5.0,3.0,844.1,14.3,7.6,6.1,789.0,27.2,-5.4,5.7,"45,789",-0.2,4.5
262,PPG INDUSTRIES,US,Construction & Materials,405.2,0.8,4.3,"12,651.3",7.7,2.7,3.2,483.5,18.8,14.9,3.8,"1,256.9",-1.5,5.7,9.9,"44,400",7.2,2.5
263,BAT,UK,Tobacco,402.4,1.6,3.7,"17,960.6",-8.4,-0.3,2.2,680.1,-7.8,4.0,3.8,"5,644.9",-19.2,3.7,31.4,"90,118",0.3,0.8
264,POSCO,South Korea,Industrial Metals & Mining,395.9,-6.1,-1.7,"48,775.3",5.2,-3.5,0.8,"2,884.1",-45.9,6.4,5.9,"2,407.8",7.3,-18.2,4.9,,,
265,KIRIN,Japan,Beverages,390.0,5.5,-2.4,"14,991.5",-2.6,2.9,2.6,822.6,2.6,13.7,5.5,764.1,-13.1,0.7,5.1,"39,894",-0.1,-0.4
266,NETFLIX,US,General Retailers,389.0,24.7,13.5,"4,533.9",25.8,10.9,8.6,57.4,28.8,2.9,1.3,331.6,76.3,-15.3,7.3,"2,450",5.3,-7.4
267,HOSPIRA,US,Pharmaceuticals & Biotechnology,385.5,11.2,7.0,"3,676.5",11.5,-0.4,10.5,,,,0.0,458.9,233.1,18.2,12.5,"19,000",11.8,4.3
268,TESLA S,US,Automobiles & Parts,382.8,100.3,3.5,"2,634.3",58.8,114.4,14.5,798.9,267.1,12.8,30.3,-153.8,204.6,-37.5,-5.8,"10,161",73.4,60.5
269,LLOYDS BANKING,UK,Banks,381.8,8.4,-9.4,"21,081.9",-11.3,-3.9,1.8,,,,0.0,"2,265.2",324.6,,10.7,"95,088",-2.8,-1.7
270,CSL,Australia,Pharmaceuticals & Biotechnology,381.1,-0.8,17.0,"4,496.0",2.3,4.9,8.5,286.5,-1.7,4.6,6.4,"1,448.0",7.4,8.6,32.2,,-100.0,5.1
271,BIOMARIN PHARMACEUTICAL,US,Pharmaceuticals & Biotechnology,380.2,30.1,18.3,618.6,36.9,7.5,61.5,97.9,82.5,-25.0,15.8,-82.9,-34.8,67.1,-13.4,"1,681",25.4,10.2
272,KYOCERA,Japan,Electronic & Electrical Equipment,377.5,13.2,2.3,"10,422.2",5.5,6.7,3.6,389.5,12.1,-9.1,3.7,637.9,-22.5,7.3,6.1,"68,185",-2.3,-0.8
273,SHANGHAI ELECTRIC,China,Industrial Engineering,377.4,42.9,7.8,"10,335.7",-2.6,5.1,3.7,230.3,-3.4,-5.0,2.2,454.2,-23.3,-7.5,4.4,"29,261",-5.3,5.5
274,MONDELEZ,US,Food Producers,374.8,-3.4,-12.5,"28,205.2",-3.0,-0.5,1.3,"1,352.4",1.2,-2.9,4.8,"2,670.3",-17.7,4.1,9.5,"104,000",-2.8,-5.3
275,COMMONWEALTH BANK OF AUSTRALIA,Australia,Banks,369.5,75.3,-17.8,"15,665.6",4.7,4.4,2.4,,,,0.0,"8,520.2",5.1,6.4,54.4,"45,948",3.7,-0.4
276,HYUNDAI MOBIS,South Korea,Automobiles & Parts,369.2,17.1,9.3,"27,111.7",5.8,9.2,1.4,832.2,58.3,-2.1,3.1,"2,300.7",5.0,3.5,8.5,,,
277,FRESENIUS,Germany,Health Care Equipment & Services,369.0,6.0,9.2,"23,231.0",14.3,7.2,1.6,"1,345.0",25.6,11.0,5.8,"3,114.0",4.1,5.3,13.4,"216,275",21.3,6.1
278,VISTEON,US,Automobiles & Parts,367.4,37.2,-0.1,"6,184.8",17.9,-5.4,5.9,280.0,26.4,1.4,4.5,344.3,28.2,11.8,5.6,"25,500",6.3,-2.6
279,ACTELION,Switzerland,Pharmaceuticals & Biotechnology,364.3,7.9,-4.0,"1,630.4",9.6,-0.2,22.3,20.9,17.0,-37.9,1.3,474.6,18.1,241.1,29.1,"2,470",3.1,-2.3
280,JOHNSON CONTROLS,US,Automobiles & Parts,362.4,-21.1,3.0,"35,275.5",3.4,0.5,1.0,987.6,-12.9,1.3,2.8,"1,896.1",-11.4,16.2,5.4,"168,000",-1.2,1.6
281,SANDVIK,Sweden,Industrial Engineering,361.1,2.5,4.9,"9,456.1",1.7,-2.5,3.8,406.7,-8.7,-5.7,4.3,"1,077.4",17.2,-5.8,11.4,"47,328",-1.5,-0.3
282,SUNGARD,US,Software & Computer Services,360.8,7.1,24.5,"2,313.6",1.7,-14.3,15.6,,,,0.0,70.8,-78.7,5.8,3.1,,,-100.0
283,KT,South Korea,Fixed Line Telecommunications,358.5,54.9,-2.4,"17,548.8",-1.6,3.8,2.0,"2,570.9",-5.7,-0.4,14.6,-218.5,-134.7,-21.7,-1.2,,,
284,PHILIP MORRIS INTERNATIONAL,US,Tobacco,356.6,-3.6,2.8,"24,517.7",-4.6,0.1,1.5,949.7,-3.9,10.2,3.9,"9,638.4",-13.4,0.4,39.3,"82,500",-9.4,5.3
285,UNITED MICROELECTRONICS,Taiwan,Technology Hardware & Equipment,355.2,16.0,7.8,"3,639.6",13.1,2.0,9.8,"1,123.9",31.4,-14.9,30.9,293.1,-13.4,14.9,8.1,,,-100.0
286,BAKER HUGHES,US,"Oil Equipment, Services & Distribution",354.2,16.2,4.5,"20,221.6",9.8,4.1,1.8,"1,475.2",-14.1,-5.4,7.3,"2,405.9",49.9,-9.2,11.9,"62,000",4.4,1.0
287,SOCIETE GENERALE,France,Banks,354.0,6.0,-0.7,"23,915.0",-1.3,-0.4,1.5,,,,0.0,"4,375.0",49.7,-10.8,18.3,"148,322",0.4,-2.4
288,KAO,Japan,Personal Goods,353.2,4.2,1.0,"9,570.0",6.6,2.6,3.7,349.2,-8.1,10.1,3.6,909.9,6.9,4.7,9.5,"32,707",-1.0,-1.0
289,EMBRAER,Brazil,Aerospace & Defence,352.0,19.7,6.9,"4,632.5",9.5,11.4,7.6,208.1,-3.9,7.8,4.5,404.4,-18.8,45.4,8.7,,-100.0,0.1
290,MCKESSON,US,Health Care Equipment & Services,350.9,-14.1,0.6,"147,471.3",30.3,3.9,0.2,448.9,31.3,1.4,0.3,"2,568.2",24.4,3.3,1.7,"70,400",64.5,4.3
291,WISTRON,Taiwan,Technology Hardware & Equipment,349.0,3.5,4.6,"15,398.0",-5.1,-1.8,2.3,148.4,18.6,-29.0,1.0,105.7,-45.0,-13.3,0.7,,,-100.0
292,GREAT WALL MOTOR,China,Automobiles & Parts,346.2,51.9,38.6,"8,088.4",10.4,24.3,4.3,973.1,1.3,23.8,12.0,"1,228.0",-4.3,33.9,15.2,"71,575",10.6,12.3
293,ALTERA,US,Technology Hardware & Equipment,344.4,8.6,5.7,"1,591.4",11.5,-5.7,21.6,34.6,-25.1,20.8,2.2,442.6,15.5,-18.2,27.8,"3,091",-0.1,2.4
294,ANHUI JIANGHUAI AUTOMOBILE,China,Automobiles & Parts,339.7,107.0,,"4,234.5",1.8,3.0,8.0,73.5,26.3,-3.5,1.7,4.2,-95.9,19.9,0.1,"20,763",-5.0,7.3
295,HTC,Taiwan,Technology Hardware & Equipment,339.2,4.0,-8.4,"4,884.7",-7.6,-24.1,6.9,35.7,-51.9,-30.2,0.7,34.2,-145.9,,0.7,,,-100.0
296,AKZO NOBEL,The Netherlands,Chemicals,339.0,5.0,-1.3,"14,296.0",-3.9,-1.8,2.4,588.0,-11.7,0.4,4.1,987.0,-8.9,2.0,6.9,"47,200",-4.8,-1.6
297,INTESA SANPAOLO,Italy,Banks,338.0,22.5,-1.4,"17,343.0",7.6,-1.1,1.9,,,,0.0,"3,009.0",-162.5,-20.4,17.3,"89,486",-4.6,-2.1
298,DSM,The Netherlands,Chemicals,338.0,-37.2,12.2,"9,283.0",-3.5,1.5,3.6,556.0,-14.5,15.4,6.0,292.0,-40.5,-19.2,3.1,"21,351",-12.3,3.1
