#,Investor Name,HQ Country,HQ City,Latitude,Longitude
355,Strascheg Center for Entrepr…,Germany,Munich,48.1371079,11.5753822
356,Strascheg Center for Entrepr…,Germany,Munich,48.1371079,11.5753822
357,Take Off,Italy,Milan,45.4641943,9.1896346
358,Takeoff Accelerator,Italy,Turin,45.0677551,7.6824892
359,Tec Labs,Portugal,Lisbon,38.7077507,-9.1365919
360,Techcelerator.ro,Romania,Bucharest,44.4361414,26.1027202
361,TechFounders,Germany,Munich,48.1371079,11.5753822
362,Techno'Start,France,Mérignac,44.842168,-0.6469022
363,TechnoFounders,France,Paris,48.8534951,2.3483915
365,TechQuartier,Germany,Frankfurt,50.1106444,8.6820917
366,Techstars Berlin,Germany,Berlin,52.510885,13.3989367
367,Techstars Paris,France,Paris,48.8534951,2.3483915
368,TECNALIA Ventures,Spain,Derio,43.2907714,-2.8870439
369,Terkko Health Hub,Finland,Helsinki,60.1674881,24.9427473
370,Terra Next Accelerator,Italy,Milan,45.4641943,9.1896346
371,Tesonet,Lithuania,Vilnius,54.6870458,25.2829111
372,Tetuan Valley,Spain,Madrid,40.4167047,-3.7035825
373,The Blue Minds Company,Austria,Vienna,48.2083537,16.3725042
374,The Collider,Spain,Barcelona,41.3828939,2.1774322
375,The Delta,Germany,Berlin,52.510885,13.3989367
376,The Faktory,Belgium,Liège,50.6450944,5.5736112
378,The Qube Accelerator,Italy,Lecce,40.1522173,18.2260628
379,Thinkubator,Denmark,Copenhagen,55.6867243,12.5700724
381,Toscana Life Sciences,Italy,Siena,43.1672059,11.467561
382,TU Wien Innovation Incubat…,Austria,Vienna,48.2083537,16.3725042
383,Turbiini,Finland,Vantaa,60.2933337,25.0407809
384,UCD VentureLaunch Acceler…,Ireland,Dublin,53.3493795,-6.2605593
385,Uminova Innovation,Sweden,Umeå,63.8256568,20.2630745
386,UniCredit Start Lab FinTech …,Italy,Milan,45.4641943,9.1896346
387,Universidade De Aveiro Incu…,Portugal,Ílhavo,40.6001108,-8.6666667
388,Universidade de Aveiro Incu…,Portugal,Ílhavo,40.6001108,-8.6666667
391,UPTEC – Science and Techn…,Portugal,Porto,41.1494512,-8.6107884
392,Venture Basecamp,Germany,Munich,48.1371079,11.5753822
393,Vertical Health Accelerator,Finland,Helsinki,60.1674881,24.9427473
394,Vertical.vc,Finland,Helsinki,60.1674881,24.9427473
395,Vision Health Pioneers,Germany,Berlin,52.510885,13.3989367
396,VITA Accelerator,Italy,"Salerno, Italy",40.67545,14.79328
397,Vittoria Hub,Italy,Milan,45.4641943,9.1896346
398,Vivero de Empresas de Mós…,Spain,Madrid,40.4167047,-3.7035825
399,WATTx,Germany,Berlin,52.510885,13.3989367
400,Wayra Germany,Germany,Munich,48.1371079,11.5753822
401,We Are Grit,Spain,Barcelona,41.3828939,2.1774322
402,WERK1,Germany,Munich,48.1371079,11.5753822
403,Wilco,France,Paris,48.8534951,2.3483915
406,Wrocław Technology Park,Poland,Wroclaw,51.1089776,17.0326689
407,Wylab,Italy,Chiavari,44.3164494,9.3233382
408,XDECK,Germany,Cologne,50.938361,6.959974
409,xEdu,Finland,Helsinki,60.1674881,24.9427473
410,Xpreneurs,Germany,Munich,48.1371079,11.5753822
412,Zagatub,France,Paris,48.8534951,2.3483915
413,ZERO,Italy,Rome,41.8933203,12.4829321
414,Zero Acceleratore,Italy,Rome,41.8933203,12.4829321
415,Zero Gravity,Portugal,Lisbon,38.7077507,-9.1365919
