EU R&D Scoreboard 2016 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2015/16, R&D 1 year growth, R&D 3 years growth,Sales 2015/16,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2015/16,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits/losses 2015/16,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2015/16,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
273,BLACKBERRY,Canada,Technology Hardware & Equipment,430.8,-34.0,-32.3,"1,984.0",-35.2,-42.0,21.7,29.4,-63.2,-57.4,1.5,-204.8,-47.3,-43.5,-10.3,0,,
274,UNICREDIT,Italy,Banks,430.4,-2.7,9.6,"21,947.5",-0.2,-4.0,2.0,0.0,,,0.0,"2,396.0",-34.9,,10.9,120735,-15.1,-9.1
275,MAXIM INTEGRATED PRODUCTS,US,Technology Hardware & Equipment,429.1,-10.5,-4.4,"2,015.9",-4.9,-3.5,21.3,63.7,-8.5,-31.6,3.2,264.5,7.5,-21.3,13.1,7213,-12.6,-7.2
276,CSL,Australia,Pharmaceuticals & Biotechnology,425.0,-0.8,21.3,"5,428.0",8.3,6.1,7.8,454.8,42.4,4.6,8.4,"1,482.1",-8.2,2.6,27.3,0,,
277,SANDVIK,Sweden,Industrial Engineering,419.3,13.6,7.9,"9,883.2",2.3,-2.7,4.2,355.3,-14.5,-12.2,3.6,672.1,-39.0,-23.9,6.8,46563,-1.6,-1.9
278,TOYOTA INDUSTRIES,Japan,Automobiles & Parts,419.0,15.0,12.1,"16,990.4",2.9,11.3,2.5,"1,165.8",-9.9,10.8,6.9,975.5,8.8,18.4,5.7,51458,-2.0,2.8
279,LLOYDS BANKING,UK,Banks,416.5,3.0,9.0,"23,971.5",-7.7,,1.7,0.0,,,0.0,"2,237.8",-6.7,,9.3,85703,-9.9,
280,QORVO,US,Technology Hardware & Equipment,412.2,74.3,35.9,"2,398.0",52.6,39.4,17.2,289.9,84.6,79.4,12.1,11.0,-90.2,,0.5,7300,9.0,20.3
281,DONGFENG MOTOR,China,Automobiles & Parts,409.5,23.1,-5.2,"17,908.7",52.3,174.9,2.3,425.2,-0.7,98.5,2.4,227.2,62.2,,1.3,129885,6.3,5.7
282,PEGATRON,Taiwan,Software & Computer Services,408.9,19.0,6.8,"33,825.7",19.0,11.3,1.2,319.4,51.4,-10.1,0.9,"1,167.3",40.3,43.0,3.5,0,,
283,ACTELION,Switzerland,Pharmaceuticals & Biotechnology,406.3,0.3,-1.6,"1,893.4",4.5,5.8,21.5,17.3,-25.3,-17.8,0.9,607.0,15.0,15.9,32.1,2547,3.1,1.5
284,EMBRAER,Brazil,Aerospace & Defense,405.9,2.1,15.4,"4,776.3",35.9,18.5,8.5,268.5,70.1,20.3,5.6,259.5,-15.4,-3.2,5.4,0,,
285,SEIKO EPSON,Japan,Technology Hardware & Equipment,405.3,11.2,2.1,"8,327.6",0.6,8.7,4.9,454.4,60.9,14.4,5.5,647.6,-13.1,72.2,7.8,67605,-3.3,-0.6
286,SHIN-ETSU CHEMICAL,Japan,Chemicals,405.3,12.7,12.2,"9,755.5",1.9,7.7,4.2,"1,122.3",69.8,22.2,11.5,"1,589.5",12.5,9.9,16.3,18407,0.7,1.3
287,DASSAULT AVIATION,France,Aerospace & Defense,404.2,-15.9,1.6,"4,175.8",13.5,1.9,9.7,152.3,66.6,36.1,3.6,"1,263.3",13.1,-4.7,30.3,11984,2.8,1.2
288,OMRON,Japan,Electronic & Electrical equipment,402.4,10.2,6.7,"6,354.3",-1.6,8.6,6.3,288.9,2.1,7.7,4.5,474.8,-28.1,14.1,7.5,37709,0.4,2.1
289,SUNGARD DATA SYSTEMS,US,Software & Computer Services,402.3,7.1,0.4,0.0,,,,0.0,,,,0.0,,,,0,,
290,INNOLUX,Taiwan,Electronic & Electrical equipment,401.4,18.3,6.0,"10,148.2",-15.1,-9.0,4.0,683.1,19.4,7.4,6.7,675.8,-20.8,,6.7,0,,
291,METALLURGICAL OF CHINA,China,General Industrials,400.2,27.3,9.1,"29,759.4",0.8,-1.6,1.3,475.0,21.6,-11.8,1.6,"1,388.5",-11.7,,4.7,103296,-1.1,-5.7
292,HARMAN INTERNATIONAL INDUSTRIES,US,Leisure Goods,397.8,13.9,14.9,"6,348.6",12.3,17.2,6.3,182.3,3.1,25.0,2.9,532.4,23.4,42.3,8.4,26000,7.5,28.6
293,KAO,Japan,Personal Goods,396.3,0.5,11.5,"11,218.9",5.0,13.3,3.5,488.3,25.2,22.8,4.4,"1,222.4",20.3,16.4,10.9,33026,1.0,-0.3
294,NIDEC,Japan,Electronic & Electrical equipment,396.2,15.0,14.9,"8,981.7",14.6,18.4,4.4,624.4,41.1,10.1,7.0,949.3,12.0,91.9,10.6,96602,-1.9,-2.6
295,DELTA ELECTRONICS (TAIWAN),Taiwan,Electronic & Electrical equipment,393.0,17.7,8.7,"5,670.1",6.7,5.8,6.9,222.2,44.1,-17.2,3.9,694.0,-4.5,6.1,12.2,0,,
296,GARMIN,Switzerland,Leisure Goods,392.3,8.1,9.4,"2,590.5",-1.8,1.3,15.1,74.0,9.9,28.0,2.9,504.8,-20.4,-3.1,19.5,11651,4.2,6.0
297,INFOR,US,Software & Computer Services,392.2,14.2,6.3,"2,472.3",10.4,-0.3,15.9,0.0,,,0.0,382.9,4.1,-5.3,15.5,0,,
298,GREAT WALL MOTOR,China,Automobiles & Parts,390.6,7.4,42.4,"10,313.8",21.3,21.3,3.8,828.7,-19.0,9.6,8.0,"1,328.7",2.9,12.8,12.9,68999,-3.6,8.8
299,PHILIP MORRIS INTERNATIONAL,US,Tobacco,388.5,-2.3,0.6,"24,611.0",-10.0,-5.1,1.6,881.8,-16.7,-3.1,3.6,"9,757.5",-9.2,-8.5,39.6,80200,-2.8,-2.7
300,MCKESSON,US,Health Care Equipment & Services,387.6,-0.9,-7.3,"175,332.1",6.6,16.1,0.2,621.8,24.2,20.7,0.4,"3,442.6",20.2,20.8,2.0,68000,-3.4,16.1
301,DSM,The Netherlands,Chemicals,387.0,14.5,0.3,"8,935.0",-3.7,-0.7,4.3,458.0,-17.6,-8.8,5.1,304.0,4.1,-11.8,3.4,20750,-2.8,-4.1
302,GAZPROM,Russia,Oil & Gas Producers,385.5,55.6,15.7,"76,587.6",9.2,8.4,0.5,"20,681.5",30.0,6.7,27.0,"19,186.7",6.2,0.5,25.1,449000,-0.2,2.1
303,POSCO,South Korea,Industrial Metals & Mining,385.2,-6.9,-5.2,"45,587.4",-10.6,-2.9,0.8,"2,232.2",-26.0,-27.6,4.9,"1,888.0",-25.0,-12.9,4.1,0,,
304,H LUNDBECK,Denmark,Pharmaceuticals & Biotechnology,384.1,20.8,4.2,"1,962.7",8.4,-0.5,19.6,31.9,-1.2,-7.7,1.6,-916.6,"-6,984.8",,-46.7,5257,-9.5,-1.7
