EU R&D Scoreboard 2016 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2015/16, R&D 1 year growth, R&D 3 years growth,Sales 2015/16,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2015/16,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits/losses 2015/16,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2015/16,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
249,DASSAULT SYSTEMES,France,Software & Computer Services,492.5,20.2,10.2,"2,839.5",23.8,11.9,17.3,43.6,-4.0,2.4,1.5,633.2,47.0,8.1,22.3,13974,5.0,11.3
250,ARRIS,US,Technology Hardware & Equipment,490.6,-4.0,46.3,"4,407.4",-9.9,52.5,11.1,82.0,57.7,60.7,1.9,220.7,-36.6,33.8,5.0,8520,27.9,57.6
251,XILINX,US,Technology Hardware & Equipment,490.4,1.5,3.9,"2,033.5",-6.9,0.7,24.1,31.2,14.8,4.0,1.5,615.3,-14.1,4.9,30.3,3458,0.2,1.3
252,XEROX,US,Technology Hardware & Equipment,485.0,-0.2,-6.8,"16,574.8",-7.7,-4.0,2.9,314.1,-24.3,-12.6,1.9,622.8,-56.5,-26.2,3.8,143600,-2.6,-0.9
253,BYD,China,Electronic & Electrical equipment,479.3,6.5,14.2,"10,981.9",40.2,20.5,4.4,578.9,91.5,-10.1,5.3,737.5,219.1,53.0,6.7,200000,5.3,6.4
254,KIRIN,Japan,Beverages,467.5,7.4,3.7,"16,746.3",0.1,0.2,2.8,587.8,-36.0,-8.0,3.5,10.4,-98.8,-78.8,0.1,39888,0.0,-1.1
255,CTRIP.COM INTERNATIONAL,China,Travel & Leisure,466.5,42.0,53.5,"1,542.0",48.3,37.9,30.3,90.3,-86.7,5.5,5.9,53.9,-352.7,-21.4,3.5,0,,
256,EMERSON ELECTRIC,US,Electronic & Electrical equipment,464.8,-7.5,-2.6,"20,486.8",-9.1,-3.0,2.3,629.2,-10.7,1.0,3.1,"3,198.3",-3.2,0.7,15.6,110800,-3.7,-6.3
257,CARL ZEISS,Germany,Health Care Equipment & Services,464.2,3.0,5.1,"4,510.9",5.2,2.7,10.3,0.0,,,0.0,371.7,3.1,-3.9,8.2,25059,1.1,1.3
258,FRESENIUS,Germany,Health Care Equipment & Services,464.0,25.7,15.0,"27,995.0",20.5,13.2,1.7,"1,511.0",12.3,15.9,5.4,"3,934.0",26.3,9.7,14.1,222305,2.8,9.5
259,AUTOLIV,US,Automobiles & Parts,459.7,-2.4,4.7,"8,422.5",-0.8,3.5,5.5,427.8,2.1,8.4,5.1,668.5,0.7,-2.3,7.9,64100,6.8,8.0
260,HYUNDAI MOBIS,South Korea,Automobiles & Parts,454.6,17.8,17.3,"28,217.6",2.5,5.4,1.6,"3,239.7",272.3,63.5,11.5,"2,298.9",-6.6,0.3,8.1,0,,
261,SAMSUNG SDI,South Korea,Electronic & Electrical equipment,451.1,"1,007.1",116.8,"5,929.8",38.3,9.5,7.6,581.3,54.9,17.3,9.8,-46.9,-184.5,,-0.8,0,,
262,TORAY INDUSTRIES,Japan,Chemicals,448.1,-1.2,3.3,"16,041.3",4.7,9.7,2.8,936.0,-0.7,6.9,5.8,"1,108.4",25.8,21.3,6.9,45839,0.1,2.5
263,KYOCERA,Japan,Electronic & Electrical equipment,447.9,6.3,7.3,"11,278.7",-3.1,4.9,4.0,503.9,15.9,4.2,4.5,706.3,-0.8,6.4,6.3,69229,1.5,-3.8
264,HALLIBURTON,US,"Oil Equipment, Services & Distribution",447.3,-19.0,1.9,"21,707.5",-28.1,-6.1,2.1,"2,006.1",-33.5,-15.1,9.2,131.3,-97.1,-67.5,0.6,65000,-18.8,-3.8
265,PPG INDUSTRIES,US,Construction & Materials,446.4,-1.2,2.2,"14,081.0",-0.2,6.5,3.2,437.2,-18.9,13.0,3.1,"1,909.6",36.2,17.8,13.6,46600,5.0,5.9
266,SAINT-GOBAIN,France,Construction & Materials,443.0,7.8,-3.1,"41,621.0",1.4,-1.2,1.1,"1,475.0",9.2,-7.8,3.5,"1,680.0",-1.6,-6.3,4.0,169400,-0.3,-4.5
267,KLA-TENCOR,US,Technology Hardware & Equipment,440.6,-7.7,1.5,"2,741.3",6.1,1.6,16.1,29.2,-30.7,-24.8,1.1,888.9,39.4,9.6,32.4,5580,-5.1,-1.4
268,JAPAN TOBACCO,Japan,Tobacco,440.6,31.4,0.5,"17,172.9",4.6,2.0,2.6,891.7,9.7,0.8,5.2,"4,142.8",22.3,3.7,24.1,44485,-13.4,-3.5
269,QIHOO 360 TECHNOLOGY,China,Software & Computer Services,440.2,26.1,49.0,"1,657.6",29.8,76.4,26.6,0.0,,,0.0,239.3,0.4,74.9,14.4,6324,10.2,25.9
270,VALE,Brazil,Mining,438.1,-35.0,-31.4,"23,522.6",-31.8,-18.7,1.9,"7,689.0",-29.1,-19.0,32.7,"-5,303.6",-178.2,,-22.5,0,,
271,EVONIK INDUSTRIES,Germany,Chemicals,434.0,6.4,4.2,"13,507.0",4.6,0.4,3.2,916.0,-16.3,0.4,6.8,"1,491.0",46.9,-4.9,11.0,33576,0.5,0.3
272,WORKDAY,US,Software & Computer Services,431.7,48.3,66.0,"1,067.6",47.5,61.9,40.4,122.8,29.0,103.3,11.5,-243.1,22.7,30.9,-22.8,5200,38.7,43.8
